Vendor Name,DATE - Split Order Requested to Ship Date,Split Order Number,SKU ID (Vendor SKU ID),Product Name,Order Item Quantity (# of units ordered),Gross Placed: Total Wholesale $,Invoice #
Née Name Change,4/1/25,45486474,NEEBARE,Digital Name Change Kit,1,15.60,552
Née Name Change,4/1/25,45486900,NEEBARE,Digital Name Change Kit,1,15.60,553
Née Name Change,4/1/25,44875463,NEELUXECA,Luxe Name Change Kit,1,40.05,554
Née Name Change,4/1/25,45174162,NEELUXESC,Luxe Name Change Kit,1,40.05,555
Née Name Change,4/1/25,45473174,NEELUXETN,Luxe Name Change Kit,1,40.05,556
Née Name Change,4/2/25,45124353,NEELUXETX,Luxe Name Change Kit,1,40.05,557
Née Name Change,4/2/25,45179879,NEELUXECT,Luxe Name Change Kit,1,40.05,558
Née Name Change,4/2/25,45341245,NEELUXETX,Luxe Name Change Kit,1,40.05,559
Née Name Change,4/2/25,45488711,NEELUXECA,Luxe Name Change Kit,1,40.05,560
Née Name Change,4/2/25,45496593,NEELUXENV,Luxe Name Change Kit,1,40.05,561
Née Name Change,4/3/25,45509504,NEELUXETX,Luxe Name Change Kit,1,40.05,562
Née Name Change,4/4/25,45181212,NEELUXEMA,Luxe Name Change Kit,1,40.05,563
Née Name Change,4/4/25,45380439,NEELUXETX,Luxe Name Change Kit,1,40.05,564
Née Name Change,4/4/25,45433527,NEELUXENC,Luxe Name Change Kit,1,40.05,565
Née Name Change,4/4/25,45461284,NEELUXENH,Luxe Name Change Kit,1,40.05,566
Née Name Change,4/4/25,45488294,NEELUXENV,Luxe Name Change Kit,1,40.05,567
Née Name Change,4/4/25,45533203,NEELUXEIL,Luxe Name Change Kit,1,40.05,568
Née Name Change,4/4/25,45534762,NEELUXEMO,Luxe Name Change Kit,1,40.05,569
Née Name Change,4/5/25,45429664,NEELUXENY,Luxe Name Change Kit,1,40.05,570
Née Name Change,4/5/25,45550917,NEELUXEPA,Luxe Name Change Kit,1,40.05,571
Née Name Change,4/5/25,45568034,NEELUXEMO,Luxe Name Change Kit,1,40.05,572
Née Name Change,4/6/25,45539008,NEELUXEPA,Luxe Name Change Kit,1,40.05,573
Née Name Change,4/6/25,45571979,NEELUXENJ,Luxe Name Change Kit,1,40.05,574
Née Name Change,4/6/25,45573029,NEELUXENC,Luxe Name Change Kit,1,40.05,575
Née Name Change,4/6/25,45591747,NEELUXEFL,Luxe Name Change Kit,1,40.05,576
Née Name Change,4/7/25,45229669,NEELUXENJ,Luxe Name Change Kit,1,40.05,577
Née Name Change,4/7/25,45604852,NEELUXEVA,Luxe Name Change Kit,1,40.05,578
Née Name Change,4/7/25,45605173,NEELUXENY,Luxe Name Change Kit,1,40.05,579
Née Name Change,4/8/25,45272117,NEELUXECA,Luxe Name Change Kit,1,40.05,580
Née Name Change,4/8/25,45625994,NEELUXETX,Luxe Name Change Kit,1,40.05,581
Née Name Change,4/8/25,45633364,NEELUXEFL,Luxe Name Change Kit,1,40.05,582
Née Name Change,4/9/25,44594428,NEELUXEWA,Luxe Name Change Kit,1,40.05,583
Née Name Change,4/9/25,45248006,NEELUXEVA,Luxe Name Change Kit,1,40.05,584
Née Name Change,4/9/25,45635254,NEELUXENJ,Luxe Name Change Kit,1,40.05,585
Née Name Change,4/9/25,45640379,NEELUXEOK,Luxe Name Change Kit,1,40.05,586
Née Name Change,4/9/25,45640541,NEELUXEMT,Luxe Name Change Kit,1,40.05,587
Née Name Change,4/10/25,45085031,NEELUXETX,Luxe Name Change Kit,1,40.05,588
Née Name Change,4/11/25,44562932,NEELUXENV,Luxe Name Change Kit,1,40.05,589
Née Name Change,4/11/25,45641511,NEELUXEFL,Luxe Name Change Kit,1,40.05,590
Née Name Change,4/11/25,45674863,NEELUXEPA,Luxe Name Change Kit,1,40.05,591
Née Name Change,4/11/25,45681164,NEELUXEMA,Luxe Name Change Kit,1,40.05,592
Née Name Change,4/12/25,45684950,NEELUXEFL,Luxe Name Change Kit,1,40.05,593
Née Name Change,4/12/25,45693415,NEELUXENY,Luxe Name Change Kit,1,40.05,594
Née Name Change,4/12/25,45699223,NEELUXEIL,Luxe Name Change Kit,1,40.05,595
Née Name Change,4/13/25,45362908,NEELUXEPA,Luxe Name Change Kit,1,40.05,596
Née Name Change,4/13/25,45464197,NEELUXEMA,Luxe Name Change Kit,1,40.05,597
Née Name Change,4/13/25,45645786,NEELUXETX,Luxe Name Change Kit,1,40.05,598
Née Name Change,4/13/25,45726017,NEELUXEMI,Luxe Name Change Kit,1,40.05,599
Née Name Change,4/14/25,44686106,NEELUXECA,Luxe Name Change Kit,1,40.05,600
Née Name Change,4/14/25,45098306,NEELUXENJ,Luxe Name Change Kit,1,40.05,601
Née Name Change,4/14/25,45685161,NEELUXETX,Luxe Name Change Kit,1,40.05,602
Née Name Change,4/14/25,45739990,NEELUXECA,Luxe Name Change Kit,1,40.05,603
Née Name Change,4/14/25,45741003,NEELUXENY,Luxe Name Change Kit,1,40.05,604
Née Name Change,4/14/25,45742739,NEELUXEAZ,Luxe Name Change Kit,1,40.05,605
Née Name Change,4/14/25,45746402,NEELUXENY,Luxe Name Change Kit,1,40.05,606
Née Name Change,4/15/25,45653464,NEELUXEMI,Luxe Name Change Kit,1,40.05,607
Née Name Change,4/15/25,45755674,NEELUXEMN,Luxe Name Change Kit,1,40.05,608
Née Name Change,4/15/25,45755702,NEELUXEPA,Luxe Name Change Kit,1,40.05,609
Née Name Change,4/15/25,45756209,NEELUXENY,Luxe Name Change Kit,1,40.05,610
Née Name Change,4/15/25,45756364,NEELUXEGA,Luxe Name Change Kit,1,40.05,611
Née Name Change,4/15/25,45762884,NEELUXEVA,Luxe Name Change Kit,1,40.05,612
Née Name Change,4/15/25,45764422,NEELUXEVA,Luxe Name Change Kit,1,40.05,613
Née Name Change,4/15/25,45766408,NEELUXENY,Luxe Name Change Kit,1,40.05,614
Née Name Change,4/16/25,45394004,NEELUXEKY,Luxe Name Change Kit,1,40.05,615
Née Name Change,4/16/25,45765530,NEELUXEMI,Luxe Name Change Kit,1,40.05,616
Née Name Change,4/16/25,45780996,NEELUXEFL,Luxe Name Change Kit,1,40.05,617
Née Name Change,4/17/25,44992662,NEELUXEPA,Luxe Name Change Kit,1,40.05,618
Née Name Change,4/17/25,45788743,NEELUXEMI,Luxe Name Change Kit,1,40.05,619
Née Name Change,4/18/25,45268818,NEELUXEPA,Luxe Name Change Kit,1,40.05,620
Née Name Change,4/18/25,45802583,NEELUXENY,Luxe Name Change Kit,1,40.05,621
Née Name Change,4/19/25,45619621,NEELUXEFL,Luxe Name Change Kit,1,40.05,622
Née Name Change,4/19/25,45789972,NEELUXEIL,Luxe Name Change Kit,1,40.05,623
Née Name Change,4/19/25,45836221,NEELUXENJ,Luxe Name Change Kit,1,40.05,624
Née Name Change,4/20/25,45427191,NEELUXEIL,Luxe Name Change Kit,1,40.05,625
Née Name Change,4/21/25,45470873,NEELUXENY,Luxe Name Change Kit,1,40.05,626
Née Name Change,4/21/25,45477960,NEELUXENC,Luxe Name Change Kit,1,40.05,627
Née Name Change,4/21/25,45823926,NEELUXETN,Luxe Name Change Kit,1,40.05,628
Née Name Change,4/21/25,45867514,NEELUXEGA,Luxe Name Change Kit,1,40.05,629
Née Name Change,4/22/25,45880517,NEELUXETX,Luxe Name Change Kit,1,40.05,630
