campaigns,start_date,portfolio,budget_impressions,clicks,spend_usd,orders,sales_usd,acos,category,action,cost_per_order
SP - Manual - ASIN - Direct Competitors,9/5/25,Name Change Kit,,439,885.11,26,2314.0,38.25,,,34.04
SP - Manual - Exact - Main KWs,9/5/25,Name Change Kit,,198,423.37,11,979.0,43.25,bleeder >= 1 order,reduce bid by 1.25%,38.49
SP - Auto - Catch All - All Products,8/28/25,Name Change Kit,,320,182.49,2,178.0,102.51999999999998,bleeder >= 1 order,reduce bid by 60.52%,91.24
SP - Auto - TOS - All Products,9/5/25,Name Change Kit,,68,58.22,3,267.0,21.81,,,19.41
SP - Manual - Broad - Main KWs,9/5/25,Name Change Kit,,21,39.16,1,89.0,44.0,bleeder >= 1 order,reduce bid by 2.0%,39.16
SP - Auto - Low Bid - All Products,9/5/25,Name Change Kit,,4,1.45,0,0.0,0.0,,,inf
