State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,SP - Auto - TOS - All Products,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,9/5/25,,Name Change Kit,10.00,<5%,CPC,8664,68,0.0078,58.22,0.86,0,3,267.00,0.2181,4.5861,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Auto - Low Bid - All Products,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,9/5/25,,Name Change Kit,10.00,<5%,CPC,23201,4,0.0002,1.45,0.36,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Manual - Broad - Main KWs,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/5/25,,Name Change Kit,10.00,<5%,CPC,1284,21,0.0164,39.16,1.86,0,1,89.00,0.44,2.2727,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Manual - ASIN - Direct Competitors,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/5/25,,Name Change Kit,40.00,56.400862068965516%,CPC,15435,439,0.0284,885.11,2.02,0,26,2314.00,0.3825,2.6144,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Manual - Exact - Main KWs,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/5/25,,Name Change Kit,40.00,<5%,CPC,6106,198,0.0324,423.37,2.14,0,11,979.00,0.4325,2.3124,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Auto - Catch All - All Products,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,8/28/25,,Name Change Kit,13.00,<5%,CPC,169433,320,0.0019,182.49,0.57,0,2,178.00,1.0252,0.9754,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
