State,Campaigns,Status,Type,Retailer,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,SP - Auto - TOS - All Products,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,9/5/25,,Name Change Kit,10.00,<5%,CPC,3996,37,0.0093,26.65,0.72,0,2,178.00,0.1497,6.6792,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Auto - Low Bid - All Products,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,9/5/25,,Name Change Kit,10.00,<5%,CPC,39569,9,0.0002,3.31,0.37,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Manual - Broad - Main KWs,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/5/25,,Name Change Kit,10.00,<5%,CPC,657,13,0.0198,13.20,1.02,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Manual - ASIN - Direct Competitors,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/5/25,,Name Change Kit,40.00,39.14980902532183%,CPC,14748,484,0.0328,880.79,1.82,0,32,2848.00,0.3093,3.2335,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Manual - Exact - Main KWs,CAMPAIGN_STATUS_ENABLED,SP,Amazon,MANUAL,Dynamic bids - down only,9/5/25,,Name Change Kit,40.00,<5%,CPC,5411,225,0.0416,416.96,1.85,0,11,979.00,0.4259,2.3479,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,SP - Auto - Catch All - All Products,CAMPAIGN_STATUS_ENABLED,SP,Amazon,AUTOMATIC,Dynamic bids - down only,8/28/25,,Name Change Kit,13.00,<5%,CPC,190342,196,0.001,96.71,0.49,0,2,178.00,0.5433,1.8406,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
